,movie_id,title,tags
0,19995,Avatar,"in 22nd centuri , parapleg marin dispatch moon pandora uniqu mission , becom torn follow order protect alien civil . cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d action adventur fantasi sciencefict samworthington zoesaldana sigourneyweav jamescameron"
1,285,Pirates of the Caribbean: At World's End,"captain barbossa , long believ dead , come back life head edg earth will turner elizabeth swann . but noth quit seem . ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting adventur fantasi action johnnydepp orlandobloom keiraknightley goreverbinski"
2,206647,Spectre,"a cryptic messag bond ’ past send trail uncov sinist organ . while m battl polit forc keep secret servic aliv , bond peel back layer deceit reveal terribl truth behind spectr . spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom action adventur crime danielcraig christophwaltz léaseydoux sammend"
3,49026,The Dark Knight Rises,"follow death district attorney harvey dent , batman assum respons dent 's crime protect late attorney 's reput subsequ hunt gotham citi polic depart . eight year later , batman encount mysteri selina kyle villain bane , new terrorist leader overwhelm gotham 's finest . the dark knight resurfac protect citi brand enemi . dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman action crime drama thriller christianbal michaelcain garyoldman christophernolan"
4,49529,John Carter,"john carter war-weari , former militari captain 's inexplic transport mysteri exot planet barsoom ( mar ) reluctantli becom embroil epic conflict . it 's world brink collaps , carter rediscov human realiz surviv barsoom peopl rest hand . basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d action adventur sciencefict taylorkitsch lynncollin samanthamorton andrewstanton"
5,559,Spider-Man 3,"the seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman . while spider-man ’ superpow alter alien organ , alter ego , peter parker , deal nemesi eddi brock also get caught love triangl . dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng fantasi action adventur tobeymaguir kirstendunst jamesfranco samraimi"
6,38757,Tangled,"when kingdom 's wanted-and charming-bandit flynn rider hide mysteri tower , 's taken hostag rapunzel , beauti feisti tower-bound teen 70 feet magic , golden hair . flynn 's curiou captor , 's look ticket tower 's lock away year , strike deal handsom thief unlik duo set action-pack escapad , complet super-cop hors , over-protect chameleon gruff gang pub thug . hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick anim famili zacharylevi mandymoor donnamurphi byronhoward nathangreno"
7,99861,Avengers: Age of Ultron,"when toni stark tri jumpstart dormant peacekeep program , thing go awri earth ’ mightiest hero put ultim test fate planet hang balanc . as villain ultron emerg , the aveng stop enact terribl plan , soon uneasi allianc unexpect action pave way epic uniqu global adventur . marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d action adventur sciencefict robertdowneyjr . chrishemsworth markruffalo josswhedon"
8,767,Harry Potter and the Half-Blood Prince,"as harri begin sixth year hogwart , discov old book mark 'properti half-blood princ ' , begin learn lord voldemort 's dark past . witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf adventur fantasi famili danielradcliff rupertgrint emmawatson davidy"
9,209112,Batman v Superman: Dawn of Justice,"fear action god-lik super hero left uncheck , gotham citi ’ formid , forc vigilant take metropoli ’ rever , modern-day savior , world wrestl sort hero realli need . and batman superman war one anoth , new threat quickli aris , put mankind greater danger ’ ever known . dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers action adventur fantasi benaffleck henrycavil galgadot zacksnyd"
10,1452,Superman Returns,"superman return discov 5-year absenc allow lex luthor walk free , closest felt abandon move . luthor plot ultim reveng could see million kill chang face planet forev , well rid man steel . savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor adventur fantasi action sciencefict brandonrouth kevinspacey katebosworth bryansing"
11,10764,Quantum of Solace,"quantum solac continu adventur jame bond casino royal . betray vesper , woman love , 007 fight urg make latest mission person . pursu determin uncov truth , bond m interrog mr. white , reveal organ blackmail vesper far complex danger anyon imagin . kill undercov secretag britishsecretservic adventur action thriller crime danielcraig olgakurylenko mathieuamalr marcforst"
12,58,Pirates of the Caribbean: Dead Man's Chest,"captain jack sparrow work way blood debt ghostli davey jone , also attempt avoid etern damnat . witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting adventur fantasi action johnnydepp orlandobloom keiraknightley goreverbinski"
13,57201,The Lone Ranger,"the texa ranger chase gang outlaw led butch cavendish , gang ambush ranger , seemingli kill . one survivor found , howev , american indian name tonto , nurs back health . the ranger , don mask ride white stallion name silver , team tonto bring unscrupul gang other ilk justic . texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto action adventur western johnnydepp armiehamm williamfichtn goreverbinski"
14,49521,Man of Steel,"a young boy learn extraordinari power earth . as young man , journey discov came sent . but hero must emerg save world annihil becom symbol hope mankind . savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers action adventur fantasi sciencefict henrycavil amyadam michaelshannon zacksnyd"
15,2454,The Chronicles of Narnia: Prince Caspian,"one year incred adventur lion , witch wardrob , peter , edmund , luci susan pevensi return narnia aid young princ whose life threaten evil king miraz . now , help color cast new charact , includ trufflehunt badger nikabrik dwarf , pevensi clan embark incred quest ensur narnia return right heir . basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld adventur famili fantasi benbarn williammoseley annapopplewel andrewadamson"
16,24428,The Avengers,"when unexpect enemi emerg threaten global safeti secur , nick furi , director intern peacekeep agenc known s.h.i.e.l.d. , find need team pull world back brink disast . span globe , dare recruit effort begin ! newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers sciencefict action adventur robertdowneyjr . chrisevan markruffalo josswhedon"
17,1865,Pirates of the Caribbean: On Stranger Tides,"captain jack sparrow cross path woman past , 's sure 's love -- 's ruthless con artist 's use find fabl fountain youth . when forc aboard queen ann 's reveng , ship formid pirat blackbeard , jack find unexpect adventur n't know fear : blackbeard woman past . sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d adventur action fantasi johnnydepp penélopecruz ianmcshan robmarshal"
18,41154,Men in Black 3,"agent j ( will smith ) k ( tommi lee jone ) back ... time . j seen inexplic thing 15 year men black , noth , even alien , perplex much wri , retic partner . but k 's life fate planet put stake , agent j travel back time put thing right . j discov secret univers k never told - secret reveal team young agent k ( josh brolin ) save partner , agenc , futur humankind . timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori action comedi sciencefict willsmith tommyleejon joshbrolin barrysonnenfeld"
19,122917,The Hobbit: The Battle of the Five Armies,"immedi event the desol smaug , bilbo dwarv tri defend erebor 's mountain treasur other claim : men ruin laketown elv mirkwood . meanwhil armi orc led azog defil march erebor , fuel rise dark lord sauron . dwarv , elv men must unit , hope middle-earth fall bilbo 's hand . corrupt elv dwarv orc middle-earth ( tolkien ) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri action adventur fantasi martinfreeman ianmckellen richardarmitag peterjackson"
20,1930,The Amazing Spider-Man,"peter parker outcast high schooler abandon parent boy , leav rais uncl ben aunt may . like teenag , peter tri figur got person today . as peter discov mysteri briefcas belong father , begin quest understand parent ' disappear – lead directli oscorp lab dr. curt connor , father 's former partner . as spider-man set collis cours connor ' alter ego , the lizard , peter make life-alt choic use power shape destini becom hero . lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting action adventur fantasi andrewgarfield emmaston rhysifan marcwebb"
21,20662,Robin Hood,"when soldier robin happen upon die robert loxley , promis return man 's sword famili nottingham . there , assum robert 's ident ; romanc widow , marion ; draw ire town 's sheriff king john 's henchman , godfrey . robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland action adventur russellcrow cateblanchett maxvonsydow ridleyscott"
